Cutter,Titulo,Descricao,Ano,Autores,Paginas,ISBN,Idioma,Src,bandeja,coluna,estante
C676,"2º Congresso de Pesquisa Científica: Inovação, éTica e Sustentabilidade"," O II Congresso de Pesquisa Científica: inovação, ética e sustentabilidade, promovidos pelas instituições UNIVEM, Fapoja e Fatec Garça. Teve por objetivo a constituição de uma ocasião de debates e proposição de idéias sobre temas relativos às noções em questão.", 2012, Vários, 175, 978-85-6318-405-4, Português,http://arquivos.biblioceeteps.com.br/d/9417.jpg?v=201411060148&w=320,4,3,1
B277f,Fundamentos da Metodologia Científica," Oferece os elementos fundamentais e necessários à compreensão da metodologia científica e de suas implicações para a elaboraçãoe execução de projetos de pesquisa.Este livro apresenta questões referentes à dinâmica do conhecimento, assim como aspectos relacionados ao atual contexto da pesquisa e maneira de referenciá-los bibliograficamente, entre outros assuntos relevantes.", 2008, Barros - Aidil Jesus da Silveira  e Lehfeld - Neide Aparecida de Souza, 158, 978-85-7605-156-5, Português,http://arquivos.biblioceeteps.com.br/d/5647.jpg?v=201314020139&w=320,4,3,1
C756,Construindo o saber," Com o desejo de aproximar o iniciante em algumas questões fundamentais na área de metodologia e oferecer um instrumento que possa viabilizar sua inserção no universo da produção científica, Maria Cecília organizou, com alguns colaboradores, as técnicas de metodologia científica.", 1991, Maria Cecília M. de Carvalho, 180,, Português,http://arquivos.biblioceeteps.com.br/d/6272.jpg?v=201311040922&w=320,4,3,1
F139f,Fundamentos de metodologia científica," Este texto se apresenta como uma introdução geral às disciplinas Metodologia Científica e Métodos e Técnicas de Pesquisa, enfocando procedimentos didáticos, aspectos do conhecimento científico, técnicas de pesquisa e aspectos metodológicos dos trabalhos tanto escolares quanto científicos. O estilo das autoras é claro, simples e objetivo, apresentando de forma didática um conteúdo temático rico, essencial hoje em dia à atuação dos diferentes especialistas em suas áreas de pesquisa, dos profissionais em seu campo de ação e dos estudantes em seus cursos de formação. Demonstra que, apesar da existência de uma adaptação mútua entre teorias e instrumentos utilizados para enunciá-las, a metodologia científica não se perde no estudo abstrato das primeiras, mas evidencia sua formação a passos concretos.", 2009, Eva Maria Lakatos e Marina de Andrade Marconi, 315, 978-85-2244-015-3, Português,http://arquivos.biblioceeteps.com.br/d/4247.jpg?v=201029030215&w=320,4,3,1
M321f,Fundamentos de metodologia científica," Este texto se apresenta como uma introdução geral às disciplinas Metodologia Científica e Métodos e Técnicas de Pesquisa, enfocando procedimentos didáticos, aspectos do conhecimento científico, técnicas de pesquisa e aspectos metodológicos dos trabalhos tanto escolares quanto científicos. O estilo das autoras é claro, simples e objetivo, apresentando de forma didática um conteúdo temático rico, essencial hoje em dia à atuação dos diferentes especialistas em suas áreas de pesquisa, dos profissionais em seu campo de ação e dos estudantes em seus cursos de formação. Demonstra que, apesar da existência de uma adaptação mútua entre teorias e instrumentos utilizados para enunciá-las, a metodologia científica não se perde no estudo abstrato das primeiras, mas evidencia sua formação a passos concretos.", 2009, Eva Maria Lakatos e Marina de Andrade Marconi, 315, 978-85-2244-015-3, Português,http://arquivos.biblioceeteps.com.br/d/4247.jpg?v=201029030215&w=320,4,3,1
M321t,Técnicas de Pesquisa," Este texto apresenta-se como uma introdução geral às técnicas de pesquisa. Completa-se com outro, das mesmas autoras, sobre metodologia científica. Seu propósito fundamental é examinar os meios disponíveis, sobretudo na área das Ciências Sociais, para o desenvolvimento de pesquisas fundamentadas em procedimentos sistemáticos, controlados e críticos, que permitam descobrir novos fatos ou dados, novas relações ou leis. Os meios reunidos neste texto não se limitam, porém, à instrumentalização de investigações especializadas e completas; destinam-se, também, a orientar estudos e investigações específicos para a produção de artigos e monografias.O texto examina as várias etapas de um projeto de pesquisa: seleção do tópico ou problema para investigação, definição e diferenciação do problema, levantamento de hipóteses de trabalho, coleta, sistematização e classificação dos dados, análise e interpretação dos dados e relatório do resultado de pesquisa. Foi escrito como texto básico, em nível didático, para cursos introdutórios, mas traz procedimentos fundamentais, de interesse para pesquisadores tanto no meio acadêmico como profissionais, abordando não só as características e a tipologia da pesquisa como também seu planejamento e execução.Livro-texto para a disciplina METODOLOGIA DA PESQUISA CIENTÍFICA e texto complementar para a disciplina INTRODUÇÃO À CIÊNCIA, dos cursos de graduação, sobretudo na área das Ciências Sociais.", 2011, Eva Maria Lakatos e Marina de Andrade Marconi, 277, 978-85-2245-152-4, Português,http://arquivos.biblioceeteps.com.br/d/4708.jpg?v=201213010710&w=320,4,3,1
M321tp,Técnicas de Pesquisa," Este texto apresenta-se como uma introdução geral às técnicas de pesquisa. Completa-se com outro, das mesmas autoras, sobre metodologia científica. Seu propósito fundamental é examinar os meios disponíveis, sobretudo na área das Ciências Sociais, para o desenvolvimento de pesquisas fundamentadas em procedimentos sistemáticos, controlados e críticos, que permitam descobrir novos fatos ou dados, novas relações ou leis. Os meios reunidos neste texto não se limitam, porém, à instrumentalização de investigações especializadas e completas; destinam-se, também, a orientar estudos e investigações específicos para a produção de artigos e monografias.O texto examina as várias etapas de um projeto de pesquisa: seleção do tópico ou problema para investigação, definição e diferenciação do problema, levantamento de hipóteses de trabalho, coleta, sistematização e classificação dos dados, análise e interpretação dos dados e relatório do resultado de pesquisa. Foi escrito como texto básico, em nível didático, para cursos introdutórios, mas traz procedimentos fundamentais, de interesse para pesquisadores tanto no meio acadêmico como profissionais, abordando não só as características e a tipologia da pesquisa como também seu planejamento e execução.Livro-texto para a disciplina METODOLOGIA DA PESQUISA CIENTÍFICA e texto complementar para a disciplina INTRODUÇÃO À CIÊNCIA, dos cursos de graduação, sobretudo na área das Ciências Sociais.", 2011, Eva Maria Lakatos e Marina de Andrade Marconi, 277, 978-85-2245-152-4, Português,http://arquivos.biblioceeteps.com.br/d/4708.jpg?v=201213010710&w=320,4,3,1
M381e,As Empresas e o Ambiente,, 1973, Paul R. Lawrence e Jay W. Lorsch, 229,, Português,http://arquivos.biblioceeteps.com.br/d/35974.jpg?v=201430070423&w=320,4,3,1
R696c,Como Elaborar Citações e Notas de Rodapé," Citação é a menção , no texto que se escreve,  de informações extraídas de outras publicações, com finalidade de ilustrar afirmações, de apresentar evidências, de esclarecer, sustentar, contestar ou complementar as ideias do autor.", 2005, André Figueiredo Rodrigues, 73, 978-85-9829-270-2, Português,http://arquivos.biblioceeteps.com.br/d/70547.jpg?v=201507081219&w=320,4,3,1
Y51e,As Empresas e o Ambiente,, 1973, Paul R. Lawrence e Jay W. Lorsch, 229,, Português,http://arquivos.biblioceeteps.com.br/d/35974.jpg?v=201430070423&w=320,4,3,1
A532,"Anais do VI Encontro Unificado de Ensino, Pesquisa e Extensão"," Anais do VI Encontro Unificado de Ensino, Pesquisa e Extensão em Cachoeiro de Itapemirim, ES, 13 a 16 de Outubro de 2008.", 2008, Centro Universitário São Camilo - Espírito Santo, 178, 978-85-6135-800-6, Português,,4,3,1
A553i,Introdução à Metodologia do Trabalho Científico," O processo de transmissão/aquisição de cultura, apesar de todo avanço tecnológico observado na área de comunicações, ainda é fundamentalmente realizado através da leitura.Há, contudo, entro os professores universitários, a mesma queixa generalizada: os alunos não têm o hábito da leitura. O fato ainda é que os estudantes não estão habituados a encarar a leitura como um processo mais abrangente, que envolva o leitor com o autor, não conseguindo prestar atenção, entender e analisar o que lêem.Tendo isso em vista, este livro divide-se em duas partes. A primeira (Requisitos Básicos) enfatiza A Importância da Leitura, Técnicas para Elaboração dos Trabalhos de Graduação, Técnicas de Pesquisa Bibliográfica, Fases de Pesquisa Bibliográfica, Partes que Compõem um Trabalho de Graduação, Normas para Redação dos Trabalhos e A Elaboração de Seminários.A segunda parte (Introdução à Pesquisa Científica) traz informações sobre Métodos e Técnicas de Pesquisa, Pesquisa de Campo e Relatório de Pesquisa.", 2009, Maria Margarida de Andrade, 160, 978-85-2245-292-7, Português,http://arquivos.biblioceeteps.com.br/d/4121.jpg?v=201310040156&w=320,4,3,1
