de;ate;bandeija;coluna;estante;lado
R001.6403D;R398.03C;1;1;1;A
R398.03C;R423.64D;2;1;1;A
R423.64D;R423.69D;3;1;1;A
R423.69D;R423.69D;4;1;1;A
R423.69D;R423.69M;5;1;1;A
;;;;;
R463.69M;R463.69M;1;2;1;A
R463.69M;R423.69S;2;2;1;A
R423.69S;R423.69T;3;2;1;A
R469.3B;R469.3F;4;2;1;A
R469.3F;R469.3F;5;2;1;A
;;;;;
R469.3F;R469.3F;1;3;1;A
R469.3WI;R549A;2;3;1;A
R501.03A;R658.03P;3;3;1;A
001C;001.4M;4;3;1;A
001.4M;001.42A;5;3;1;A
;;;;;
001.42A;001.42S;1;4;1;A
001.42S;001.62B;2;4;1;A
001.62B;001.64Y;3;4;1;A
001.64044Y;004B;4;4;1;A
004B;004M;5;4;1;A
;;;;;
004.1M;004.1M;1;5;1;A
004.16G;004.41K;2;5;1;A
004.43B;004.6F;3;5;1;A
004.6H;006.6T;4;5;1;A
004.6T;004.6T;5;5;1;A
;;;;;
004.6T;004.65F;1;6;1;A
004.65F;004.67K;2;6;1;A
004.67K;004.67809V;3;6;1;A
004.68M;005.1A;4;6;1;A
005.1B;005.75P;5;6;1;A
;;;;;
005.1P;005.1R;1;7;1;A
005.S;005.1Z;2;7;1;A
005.107L;005.117P;3;7;1;A
005.117M;005.12S;4;7;1;A
005.12Y;005.13H;5;7;1;A
;;;;;
005.13K;005.13S;1;8;1;A
005.13W;005.133K;2;8;1;A
005.133K;005.133S;3;8;1;A
005.133S;005.276R;4;8;1;A
005.2762C;005.3C;5;8;1;A
;;;;;
005.3C;005.3J;1;9;1;B
005.3L;005.369J;2;9;1;B
005.369M;005.4M;3;9;1;B
005.4M;005.43O;4;9;1;B
005.43P;005.43T;5;9;1;B
;;;;;
005.43T;005.4469A;1;10;1;B
005.4476D;005.73P;2;10;1;B
005.73T;005.74I;3;10;1;B
005.74I;005.74S;4;10;1;B
005.74S;005.75D;5;10;1;B
;;;;;
005.75E;005.75H;1;11;1;B
005.75J;005.7565M;2;11;1;B
005.7565M;005.82S;3;11;1;B
006.3F;006.6869A;4;11;1;B
006.78R;070.4B;5;11;1;B
;;;;;
070.44B;100C;1;12;1;B
100P;108P;2;12;1;B
109R;146.3E;3;12;1;B
149.96D;158.1H;4;12;1;B
158.1P;174.4081L;5;12;1;B
;;;;;
174.4S;300.72A;1;13;1;B
300.72P;301.55D;2;13;1;B
302A;302.35D;3;13;1;B
303.33098152T;303.4S;4;13;1;B
303.4T;303.483P;5;13;1;B
;;;;;
303.4833D;320.1M;1;14;1;B
320.1P;323.49098161D;2;14;1;B
323.49D;327.07M;3;14;1;B
327.17M;330M;4;14;1;B
330P;330P;5;14;1;B
;;;;;
330P;330S;1;15;1;B
330V;330.0202S;2;15;1;B
330.07S;330.9T;3;15;1;B
330.952P;332.042M;4;15;1;B
330.042M;333.7M;5;15;1;B
;;;;;
333.7M;336.01281J;1;16;1;B
336.2007B;337.1C;2;16;1;B
337.1D;338.7Y;3;16;1;B
338.70981P;339H;4;16;1;B
340B;340.0981S;5;16;1;B
;;;;;
340.0984S;340.12R;1;17;2;A
340.9B;341L;2;17;2;A
341H;342C;3;17;2;A
342F;342.81B;4;17;2;A
342.81S;343.087M;5;17;2;A
;;;;;
343.8104A;343.81093A;1;18;2;A
343.81094C;344.8107E;2;18;2;A
345.81B;346.810135B;3;18;2;A
346.810322C;346.8107G;4;18;2;A
346.8107F;355T;5;18;2;A
;;;;2;
361.30711D;363.69C;1;19;2;A
363.7B;368.87L;2;19;2;A
370A;370.1L;3;19;2;A
370.1L;370.196E;4;19;2;A
370.196E;370.2681L;5;19;;A
;;;;;
370.2681P;370.733E;1;20;2;A
370.78D;370.9810904S;2;20;2;A
371P;371.3C;3;20;2;A
371.3C;372.4T;4;20;2;A
372.41A;378.943P;5;20;2;A
;;;;;
378.8161E;380.3D;1;21;2;A
380.3M;382C;2;21;2;A
382C;382K;3;21;2;A
382K;382R;4;21;2;A
382S;382.068L;5;21;2;A
;;;;;
382.068L;382.60981G;1;22;2;A
382.6G;382.7R;2;22;2;A
382.7R;387.736A;3;22;2;A
387.736098161M;388.5M;4;22;2;A
388.5P;388.50981N;5;22;2;A
;;;;;
400L;410C;1;23;2;A
410L;420E;2;23;2;A
420E;420.7L;3;23;2;A
421D;425M;5;23;2;A
;;;;;
425M;428G;1;24;2;A
428G;428.24C;2;24;2;A
428.24C;428.24H;3;24;2;A
428.24I;460.7M;4;24;2;A
460.7M;468.2469M;5;24;2;A
;;;;;
469G;469.07M;1;25;2;A
469.2I;469.5C;2;25;2;A
469.5C;469.5C;3;25;2;A
469.5C;469.5P;4;25;2;A
469.5P;469.8P;5;25;2;A
;;;;;
500B;510C;1;26;2;B
510D;510M;2;26;2;B
510M;510.07M;3;26;2;B
510.07S;510.7Y;4;26;2;B
510.9B;513.93H;5;26;2;B
